file,height,width,ssim,psnr_db,rmse,elapsed_ms
bird.png,683,1024,0.9155997633934021,29.308307647705078,0.03424400681030188,41.666629957035184
busy_city_1024.png,1024,1024,0.8700257539749146,29.020973205566406,0.03539576500235994,25247.690967051312
busy_city_256.png,256,256,0.7606720924377441,23.065767288208008,0.07026054860503975,14.69924091361463
busy_city_512.png,512,512,0.8263270258903503,25.05376434326172,0.05588712044881675,13.251414056867361
busy_city_ar_1024.png,768,1024,0.8512792587280273,27.185367584228516,0.043725170972719794,24790.114952018484
busy_city_ar_256.png,192,256,0.7280266284942627,22.796106338500977,0.07247607093673943,14.82020178809762
busy_city_ar_512.png,384,512,0.8109243512153625,24.28816795349121,0.06103678319669993,13.366390950977802
circle_1024.png,1024,1024,0.9793903231620789,44.347267150878906,0.006062287321673874,83.19771895185113
circle_256.png,256,256,0.9469158053398132,38.71647644042969,0.011592470208161986,13.317636912688613
circle_512.png,512,512,0.9692111015319824,40.71237564086914,0.009212575639634553,13.282421045005322
circle_outlines_1024.png,1024,1024,0.8327202200889587,29.974679946899414,0.03171508932071432,81.22060098685324
circle_outlines_256.png,256,256,0.6424105167388916,23.3195743560791,0.06823720914939785,13.312980998307467
circle_outlines_512.png,512,512,0.733435869216919,26.898344039916992,0.04519419950633079,13.312140014022589
curiosity_selfie_1024.png,1024,1024,0.8677487373352051,32.02508544921875,0.025046421468948424,81.26192493364215
curiosity_selfie_256.png,256,256,0.820705771446228,30.20813751220703,0.030874013295941947,13.613855000585318
curiosity_selfie_512.png,512,512,0.8487776517868042,31.18846321105957,0.02757889149326042,13.414386892691255
curiosity_selfie_ar_1024.png,524,1024,0.8497917652130127,31.64177703857422,0.026176471537864218,24581.938046962023
curiosity_selfie_ar_256.png,131,256,0.8168037533760071,30.754230499267578,0.02899267998090521,14.41541314125061
curiosity_selfie_ar_512.png,262,512,0.8247652649879456,30.934724807739258,0.02839643016106578,13.133237138390541
forest_res.png,683,1024,0.5989233255386353,21.873260498046875,0.08060033546168957,41.69857990927994
great_wave_1024.png,1024,1024,0.8422850370407104,28.723840713500977,0.03662754796690912,82.83741981722414
great_wave_256.png,256,256,0.7890892028808594,22.071693420410156,0.07877988516939127,13.446309138089418
great_wave_512.png,512,512,0.8617130517959595,24.41995620727539,0.060117676988855846,13.091650092974305
great_wave_ar_1024.png,706,1024,0.8662330508232117,26.656063079833984,0.04647258039912228,24556.650909828022
great_wave_ar_256.png,176,256,0.7963481545448303,22.21025848388672,0.07753306492976395,14.407933922484517
