file,height,width,ssim,psnr_db,rmse,elapsed_ms
alphabet_page_256.png,256,256,0.8355411887168884,28.280235290527344,0.03854678784210965,25802.351407008246
alphabet_page_512.png,512,512,0.8645016551017761,27.620502471923828,0.041588646267150475,13.71827907860279
alphabet_page_ar_256.png,256,228,0.8457187414169312,28.67136573791504,0.036849504866663885,13.229453936219215
alphabet_page_ar_512.png,512,456,0.879959225654602,28.89305877685547,0.035920877992260014,12.880664085969329
big_cat.png,1024,683,0.8368979692459106,27.65842056274414,0.04140748998296778,25300.664342939854
bird.png,683,1024,0.8803989887237549,26.97479248046875,0.0447981675599867,40.83824995905161
busy_city_1024.png,1024,1024,0.8052545785903931,24.63663673400879,0.05863651264912513,25483.10993006453
busy_city_256.png,256,256,0.7364317178726196,22.038700103759766,0.07907969855506894,14.458024175837636
busy_city_512.png,512,512,0.7615139484405518,22.597766876220703,0.07415008819671133,13.135765912011266
busy_city_ar_1024.png,768,1024,0.7840726971626282,23.688541412353516,0.06539927316604988,24882.14184087701
busy_city_ar_256.png,192,256,0.7037639021873474,22.12561798095703,0.07829228908211641,14.23976686783135
busy_city_ar_512.png,384,512,0.7528020143508911,22.322725296020508,0.0765356401116574,13.0174879450351
circle_1024.png,1024,1024,0.17411169409751892,14.889618873596191,0.18010220149482903,82.44563499465585
circle_256.png,256,256,0.5533542633056641,17.985437393188477,0.12610378051767804,13.216527877375484
circle_512.png,512,512,0.21118275821208954,15.172525405883789,0.17433063865710063,13.066678075119853
circle_outlines_1024.png,1024,1024,0.4268605709075928,25.929367065429688,0.05052794036984855,81.0357688460499
circle_outlines_256.png,256,256,0.974686324596405,26.379547119140625,0.04797584101518494,13.041129102930427
circle_outlines_512.png,512,512,0.774458110332489,25.4064884185791,0.05366307640419228,12.964030960574746
curiosity_selfie_1024.png,1024,1024,0.8118976354598999,29.543272018432617,0.03333008384481002,81.0428368858993
curiosity_selfie_256.png,256,256,0.7902883291244507,29.719514846801758,0.03266059769260355,13.077141949906945
curiosity_selfie_512.png,512,512,0.7946650385856628,29.126480102539062,0.03496841245529668,13.011614792048931
curiosity_selfie_ar_1024.png,524,1024,0.7975891828536987,29.70911407470703,0.032699739826955336,24293.22120989673
curiosity_selfie_ar_256.png,131,256,0.7710963487625122,29.05697250366211,0.0352493616064918,14.261038042604923
curiosity_selfie_ar_512.png,262,512,0.7824607491493225,29.502098083496094,0.03348844666119235,12.988856062293053
forest_res.png,683,1024,0.5004328489303589,20.786632537841797,0.09134154311746492,41.43942007794976
great_wave_1024.png,1024,1024,0.793574333190918,24.601194381713867,0.05887625262814482,82.6495480723679
great_wave_256.png,256,256,0.7467624545097351,21.392324447631836,0.08518904450406002,13.283320935443044
great_wave_512.png,512,512,0.7811416387557983,21.63059425354004,0.08288392189959728,13.089934829622507
great_wave_ar_1024.png,706,1024,0.795164167881012,22.843889236450195,0.07207845923530061,24343.06665486656
great_wave_ar_256.png,176,256,0.7526676654815674,21.350669860839844,0.08559856442653976,14.403044944629073
great_wave_ar_512.png,353,512,0.7560679912567139,21.353384017944336,0.08557181147308437,13.01570306532085
green_bird.png,1024,750,0.7688712477684021,26.725419998168945,0.04610297102748924,24736.154776997864
hill_background.png,610,1024,0.769077479839325,28.51604652404785,0.037514369851353625,23771.58151101321
house_cat.png,683,1024,0.9099193811416626,33.3334846496582,0.02154396676369871,42.01609385199845
mandelbrot_10k_1024.png,1024,1024,0.7541494369506836,25.18838119506836,0.05502763625502046,82.33465696685016
mandelbrot_10k_256.png,256,256,0.9565903544425964,26.296894073486328,0.04843454524995479,14.179252088069916
mandelbrot_10k_512.png,512,512,0.8502423167228699,26.248172760009766,0.04870699162167638,13.133971951901913
mandelbrot_10k_ar_1024.png,819,1024,0.8174598813056946,26.58420753479004,0.04685863069977953,24276.270262897015
mandelbrot_10k_ar_256.png,204,256,0.9568900465965271,26.464174270629883,0.04751067724264828,14.536614995449781
mandelbrot_10k_ar_512.png,409,512,0.9141083359718323,27.056169509887695,0.04438042079109669,13.13689281232655
owl_eye_1024.png,1024,1024,0.7981791496276855,28.784852981567383,0.0363711666138814,82.41889998316765
owl_eye_256.png,256,256,0.705501914024353,25.499935150146484,0.053088840194034835,13.297575991600752
owl_eye_512.png,512,512,0.7346629500389099,26.50938606262207,0.04726401722356738,13.133269967511296
owl_eye_ar_1024.png,682,1024,0.7473044991493225,26.40890121459961,0.0478139797851225,41.86114901676774
owl_eye_ar_256.png,170,256,0.630004346370697,23.567535400390625,0.0663167476556509,13.182522961869836
owl_eye_ar_512.png,341,512,0.6831498146057129,24.713577270507812,0.05811939553446774,12.966179056093097
pillars_creation_1024.png,1024,1024,0.8946447372436523,30.779863357543945,0.028907252347488838,81.07592188753188
pillars_creation_256.png,256,256,0.8532960414886475,30.487060546875,0.02989832687307624,13.14697996713221
pillars_creation_512.png,512,512,0.8660761117935181,29.709821701049805,0.03269706962050007,13.038355158641934
