file,width,height,ssim,psnr_db,rmse
alphabet_page_256.png,256,256,0.934650182723999,32.30354690551758,0.02425618743866608
alphabet_page_512.png,512,512,0.9607876539230347,32.929508209228516,0.022569635659283042
alphabet_page_ar_256.png,228,256,0.9307497143745422,32.44615173339844,0.023861199430062596
alphabet_page_ar_512.png,456,512,0.9671555757522583,34.83235168457031,0.01812935106256381
big_cat.png,683,1024,0.9446583390235901,32.949581146240234,0.022517530783776295
bird.png,1024,683,0.93340003490448,30.211591720581055,0.030861735480001526
busy_city_1024.png,1024,1024,0.9053604006767273,31.250770568847656,0.027381765174495386
busy_city_256.png,256,256,0.8633081316947937,24.551843643188477,0.05921173636376595
busy_city_512.png,512,512,0.8764791488647461,26.733888626098633,0.04605804501089267
busy_city_ar_1024.png,1024,768,0.888916552066803,29.149524688720703,0.03487576413471105
busy_city_ar_256.png,256,192,0.829113245010376,23.558809280395508,0.06638339995898375
busy_city_ar_512.png,512,384,0.865844190120697,25.739421844482422,0.05164507517778142
circle_1024.png,1024,1024,0.5670017600059509,39.16133499145508,0.011013700572564332
circle_256.png,256,256,0.9928168058395386,51.02112579345703,0.0028115360494336073
circle_512.png,512,512,0.7354199886322021,42.30803680419922,0.007666515879572797
circle_outlines_1024.png,1024,1024,0.6436907052993774,37.33135986328125,0.013596652959488968
circle_outlines_256.png,256,256,0.9862737655639648,34.73360061645508,0.01833664544135246
circle_outlines_512.png,512,512,0.8336501121520996,37.2136344909668,0.013782191860381255
curiosity_selfie_1024.png,1024,1024,0.9077908992767334,33.48142623901367,0.021180126076461084
curiosity_selfie_256.png,256,256,0.8720388412475586,31.752120971679688,0.025846031964269177
curiosity_selfie_512.png,512,512,0.893430233001709,32.678916931152344,0.023230259803940716
curiosity_selfie_ar_1024.png,1024,524,0.896722137928009,33.15959167480469,0.021979629549180393
curiosity_selfie_ar_256.png,256,131,0.8631778359413147,31.825721740722656,0.025627949353395758
curiosity_selfie_ar_512.png,512,262,0.8790331482887268,32.45402526855469,0.023839582410942885
forest_res.png,1024,683,0.6493021845817566,22.183979034423828,0.07776800487288267
great_wave_1024.png,1024,1024,0.8608980178833008,30.62108039855957,0.02944055432389964
great_wave_256.png,256,256,0.8756181597709656,23.819442749023438,0.06442105694833615
great_wave_512.png,512,512,0.916054904460907,28.672006607055664,0.036846783106789356
great_wave_ar_1024.png,1024,706,0.8974738121032715,30.206384658813477,0.030880239908491553
great_wave_ar_256.png,256,176,0.8626406192779541,23.46733856201172,0.06708618540000048
great_wave_ar_512.png,512,353,0.9081205725669861,25.924222946166992,0.05055787401645659
green_bird.png,750,1024,0.8438706398010254,30.21834945678711,0.030837731452123755
hill_background.png,1024,610,0.8553857803344727,30.750520706176758,0.029005072671381835
house_cat.png,1024,683,0.9589277505874634,38.1435661315918,0.012382877506497626
mandelbrot_10k_1024.png,1024,1024,0.8633066415786743,31.98716163635254,0.025156018153523127
mandelbrot_10k_256.png,256,256,0.969441831111908,29.10202407836914,0.03506701289964513
mandelbrot_10k_512.png,512,512,0.9135276675224304,30.439977645874023,0.030060832979403342
mandelbrot_10k_ar_1024.png,1024,819,0.8974711298942566,32.228294372558594,0.024467256531425254
mandelbrot_10k_ar_256.png,256,204,0.966368556022644,29.602373123168945,0.03310405979984238
mandelbrot_10k_ar_512.png,512,409,0.9390605092048645,30.87337875366211,0.02859769215859664
owl_eye_1024.png,1024,1024,0.9167842268943787,34.48985290527344,0.018858502934600795
owl_eye_256.png,256,256,0.8400377035140991,27.85784339904785,0.04046762472920886
owl_eye_512.png,512,512,0.9045672416687012,31.554330825805664,0.026441332976884568
owl_eye_ar_1024.png,1024,682,0.919245719909668,31.99347496032715,0.025137737752953367
owl_eye_ar_256.png,256,170,0.8112881779670715,25.934816360473633,0.05049624610807661
owl_eye_ar_512.png,512,341,0.857754647731781,28.28226089477539,0.038537798963473494
pillars_creation_1024.png,1024,1024,0.9562468528747559,37.97434616088867,0.012626489482703507
pillars_creation_256.png,256,256,0.9150161743164062,33.724388122558594,0.020595884382238045
pillars_creation_512.png,512,512,0.9440955519676208,36.530128479003906,0.014910546391384604
pillars_creation_ar_1024.png,981,1024,0.9568471312522888,37.98823165893555,0.012606318608927624
pillars_creation_ar_256.png,245,256,0.9146571159362793,33.71711349487305,0.020613140868870443
pillars_creation_ar_512.png,490,512,0.9434186816215515,36.50734329223633,0.014949707085479578
portrait_face_1024.png,1024,1024,0.8196461200714111,28.419755935668945,0.037932559348089465
portrait_face_256.png,256,256,0.8748635053634644,30.561168670654297,0.029644317537023214
portrait_face_512.png,512,512,0.840614914894104,29.913774490356445,0.031938262111175376
portrait_face_ar_1024.png,787,1024,0.8352270126342773,29.317663192749023,0.03420713718892763
portrait_face_ar_256.png,196,256,0.8892375826835632,30.87791633605957,0.028582758621453232
portrait_face_ar_512.png,393,512,0.8712644577026367,31.153554916381836,0.02768995491304243
text_new_1024.png,1024,1024,0.9894549250602722,28.283109664916992,0.03853403334134365
text_new_256.png,256,256,0.9901689291000366,28.162418365478516,0.03907320203805523
text_new_512.png,512,512,0.9905214309692383,28.521242141723633,0.0374919330716865
