file,width,height,ssim,psnr_db,rmse
alphabet_page_256.png,256,256,0.7183801531791687,24.59091567993164,0.058945987854280894
alphabet_page_512.png,512,512,0.8232760429382324,25.336267471313477,0.05409867394306991
alphabet_page_ar_256.png,228,256,0.760620653629303,25.46922492980957,0.05327686558859957
alphabet_page_ar_512.png,456,512,0.8407828211784363,26.860551834106445,0.04539127880387194
big_cat.png,683,1024,0.8051175475120544,25.846208572387695,0.05101402283850152
bird.png,1024,683,0.8590638041496277,25.225339889526367,0.05479398646055091
busy_city_1024.png,1024,1024,0.7544342279434204,23.371990203857422,0.06782666474281715
busy_city_256.png,256,256,0.5474376678466797,18.60526466369629,0.11741853827267916
busy_city_512.png,512,512,0.6664597988128662,20.031402587890625,0.099639121457164
busy_city_ar_1024.png,1024,768,0.7322131991386414,21.77882957458496,0.08148140210610545
busy_city_ar_256.png,256,192,0.5416257381439209,19.033763885498047,0.11176654170244472
busy_city_ar_512.png,512,384,0.6303526759147644,19.258289337158203,0.10891444447691687
circle_1024.png,1024,1024,0.6981722712516785,28.694541931152344,0.0367513042443756
circle_256.png,256,256,0.5962194204330444,29.290315628051758,0.0343150133605808
circle_512.png,512,512,0.6786229014396667,28.1046142578125,0.039334105439030334
circle_outlines_1024.png,1024,1024,0.5912261605262756,26.33480453491211,0.048223608605493136
circle_outlines_256.png,256,256,0.6635342836380005,22.349632263183594,0.07629892256713944
circle_outlines_512.png,512,512,0.6881116628646851,25.163679122924805,0.05518436576093703
curiosity_selfie_1024.png,1024,1024,0.7351800203323364,27.57864761352539,0.041789529223981686
curiosity_selfie_256.png,256,256,0.6678546667098999,26.614450454711914,0.04669576142698265
curiosity_selfie_512.png,512,512,0.6990240812301636,26.951139450073242,0.04492033561888529
curiosity_selfie_ar_1024.png,1024,524,0.7143545150756836,27.521060943603516,0.04206751565305428
curiosity_selfie_ar_256.png,256,131,0.6772922277450562,27.175752639770508,0.043773604415835395
curiosity_selfie_ar_512.png,512,262,0.6879928708076477,27.300861358642578,0.04314762914915031
forest_res.png,1024,683,0.3357129395008087,18.0482120513916,0.12519570021785026
great_wave_1024.png,1024,1024,0.7275919914245605,23.695392608642578,0.0653476948628245
great_wave_256.png,256,256,0.6030183434486389,17.671049118041992,0.1307517434632124
great_wave_512.png,512,512,0.6857313513755798,19.041229248046875,0.11167050717179168
great_wave_ar_1024.png,1024,706,0.732864499092102,21.024656295776367,0.08887243779361474
great_wave_ar_256.png,256,176,0.6101088523864746,17.634206771850586,0.13130753198546463
great_wave_ar_512.png,512,353,0.660271406173706,18.46815299987793,0.11928678755340073
green_bird.png,750,1024,0.7315207719802856,25.718597412109375,0.05176904169664453
hill_background.png,1024,610,0.7095230221748352,26.984590530395508,0.04474766787187461
house_cat.png,1024,683,0.8957617282867432,32.7855224609375,0.02294688770954773
mandelbrot_10k_1024.png,1024,1024,0.8499101400375366,25.596023559570312,0.052504770351003184
mandelbrot_10k_256.png,256,256,0.7921650409698486,22.79049301147461,0.07252293284149285
mandelbrot_10k_512.png,512,512,0.837986409664154,24.550640106201172,0.05921993044013875
mandelbrot_10k_ar_1024.png,1024,819,0.8768788576126099,26.25275230407715,0.04868131979910259
mandelbrot_10k_ar_256.png,256,204,0.8262573480606079,23.476430892944336,0.06701599009639649
mandelbrot_10k_ar_512.png,512,409,0.8631178736686707,25.1501407623291,0.05527044084264066
owl_eye_1024.png,1024,1024,0.7509933710098267,27.827972412109375,0.04060704511919311
owl_eye_256.png,256,256,0.48609301447868347,21.493488311767578,0.08420259657411022
owl_eye_512.png,512,512,0.6221816539764404,24.279272079467773,0.0610993067264393
owl_eye_ar_1024.png,1024,682,0.6638089418411255,24.275768280029297,0.06112396454994527
owl_eye_ar_256.png,256,170,0.42276838421821594,20.18848419189453,0.09785334724428077
owl_eye_ar_512.png,512,341,0.5212920904159546,21.68964385986328,0.08232234497924476
pillars_creation_1024.png,1024,1024,0.8869141340255737,33.035301208496094,0.02229641048250602
pillars_creation_256.png,256,256,0.7617539763450623,27.53661346435547,0.041992258193821505
pillars_creation_512.png,512,512,0.8351894617080688,30.282554626464844,0.030610630268708996
pillars_creation_ar_1024.png,981,1024,0.8864656686782837,33.042144775390625,0.022278848389734582
pillars_creation_ar_256.png,245,256,0.7610856294631958,27.5192928314209,0.04207608524712539
pillars_creation_ar_512.png,490,512,0.8338369131088257,30.256118774414062,0.03070393027549045
portrait_face_1024.png,1024,1024,0.6566838026046753,24.60743522644043,0.05883398082611445
portrait_face_256.png,256,256,0.7183920741081238,25.346267700195312,0.05403641356998719
portrait_face_512.png,512,512,0.7060238718986511,26.140745162963867,0.04931314145980629
portrait_face_ar_1024.png,787,1024,0.6984555125236511,25.86063003540039,0.05092938531117992
portrait_face_ar_256.png,196,256,0.7029086947441101,24.77256202697754,0.05772604801293577
portrait_face_ar_512.png,393,512,0.7369611263275146,26.67327117919922,0.046380602282775685
text_new_1024.png,1024,1024,0.8316162824630737,16.311065673828125,0.1529138059883381
text_new_256.png,256,256,0.8173261880874634,15.859254837036133,0.16107836294642291
text_new_512.png,512,512,0.8336684107780457,16.446069717407227,0.15055543984051023
